hs_class,text
negative,"kamu ga budek ko, cuma tuli nnga'"
negative,"duduk serumah tapi masak asing2 makan sendiri2, serupa takpayah duduk serumah. duduk asing lebih baik, sebab nak buat apa pn orang tak kisah.'"
negative,"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali be emu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #sebabaduy2018"
negative,Ganda Campuran..... nCampur tangan aseng'
positive,haduh sibuk ea celeng'
negative,Makanya kalo laper mending jual diri aja jangan jual otak. Goblog kan jadinya.'
negative,Ketua Umum PPP M. Romahurmuziy bersilaturahmi ke kediaman Ketua Utama Alkhairaat Habib Sayyid Saggaf Muhammad Aljufri.Â #Romahurmuziy #PPP10Sempurna
negative,ada perek yang imagine nya liar? Yg longrep gak cuma desah doang. Mau gue mainin memeknya. Langsung follback ya'
negative,--------------------- Hetifah Tingkatkan Sektor Pariwisata Kaltim --------------------- Baca Berita Update Lainnya di #korankaltim #bacakorankaltim #wisatakaltim #samarinda #tenggarong #balikpapan #bontang #berau
positive,HTI sama wahabi mugkin layak di bubarkan
negative,Masalah kebijakan yg terlalu pro aseng le. Coba le buka syarat2 investasi g to g indonesia - RRC... ada klausul mengikut se akan TkA nya mereka'
negative,"Bagi yg Muslim tahan diri, Pak tidak spesifik menyebut Kitab Suci agama manapun. Boleh jadi Muslim sesama Muslim sedang diadu domba dg bawa2 Al Qur'an disini. Salam"
negative,"Udah setan, terkutuk pula. Sedih banget jadi gue'"
positive,Tlg Polri memeriksa Anies Sandi yg sdh jelas terlibat dlm Saracen & membatalkan pengangkatan mrk sesuai hukum yg berlaku. 
negative,Boleh. Kampus gue ada foreigner pake rok sebawah pantat dikit aja ada wkwkw. Balik lagi sih tergantung ada beberapa dosen yg nentuin pakaian'
positive,Beruntung Ahok nyungsep
positive,"Begok tuh pengikut rijik, bakalan jadi korban pe ama UU MD3 lu...dasar dongok kaum sumbu pendek...'"
negative,Bank rumah boleh direalisasi
negative,Biasanya yang paling brengsek itu yang paling di sayang.'
negative,"Pendapat tu ada. Kena g tgk balik petikan bh pasal isu tarikh pru tu. TGHH bg pendapat bukan kecaman. Bila federal tak bagi dana macam mana nak boost ekonomi? Aku dlm industi ong skrg, Tranung patut jadi negeri paling kaya dah sekarang ni. Nak"
positive,Bajingan lu silvy DebatFinalPilkadaJKT
positive,"HaHaHa Bangsaaat,,,? Tak apalah yg penting masih punya morah.. nBegundal bukan bajingan abal-abal URL"
negative,"Asisten Gubernur Kepala Depa emen Kebijakan Ekonomi dan Moneter BI Dody Budi Waluyo mengatakan,"
negative,"Sedianya hari ini Rabu, 11/04, 08.00 Wib akan dilakukan pemeriksaan Saksi (dari Pelapor) oleh Penyidik di Unit Terorisme Ditreskrimum Polda Jatim pd kasus dugaan Penodaan Agama oleh Sukmawati, tapi karena ada kendala, maka pemeriksaan ditunda ke hari esok"
positive,gerombolan ini memang selalu butuh manusia tolol untuk jadi pengikutnya ! ... '
positive,"makanya saracen mca pasnasbung cuci otak rinso isis group onta kehabisan akal otak dungu , apa rakyat masih bisa ditipu'"
positive,"Jgn diladenin, dia tu hanya seekor cebong kelayaban tanpa tujuan.'"
positive,"Diganti kotak kosong pun akan lebih baik, drpd Dilan terpilih lagi... #2019GantiPresiden"
negative,DPR lbh kompak lg soal UU MD3 '
negative,"membisikkan ""Allah.. Allah Allah... Allahuakbar... Allah... Allah..."" nApabila melihat hamba abdinya belum insaf, Umar menyeretnya ke pinggir kota dan mengikatnya di tiang. Dia menyuruh orang mengorek mata Zinnirah sehingga buta (ada juga s"
negative,Ulama Jabar Siap Dukung Jokowi di Pilpres 2019
positive,Manggilnya jgn pelan2 mbak cebong budek smua '
positive,Pendukung napi Ahok dan Jokowi sudah tidak punya akal dan bukan PKS kasihan sekali umat cebong
negative,"hukuman yang kudapatkan lebih keras dari yang ibu berikan. Aku rindu ibu, tapi aku tak boleh merindukannya karena antek paman Zhong selalu berkata ibu tak membutuhkanku dan aku harus menerima kehidupan baruku. nLambat laun aku menerima kehidupan (37/3"
positive,Tolol luh.'
positive,#AhokPastiTumbang fakta di bilang fitnah n#DebatFinalPilkadaJKT
negative,"semua sukubangsa melakukan itu tidak terkecuali arab Hejaz. kita tahu Mesir mempraktekannya dgn nama sepe i Akhen-Aten. Mesopotamian sepe i Awel-Marduk. atau orang Ibrani-Yahudi dgn Ishma-El, Yeho-hanan etc.'"
negative,Karena faktanya Subprime Mo gage yg jadi dasar kekhawatiran BI memang memberikan dampak sistemik bukan hanya pada tingkatan sistem perbankan namun berimbas pada ekonomi negara secara umum (kasus Yunani)
negative,"ada nama panggilanya ""yasuko"" entah alesanya apa ya? cuman dulu waktu kecil aku itu gendut,mata nya sipit, yah gitu lahh ~~ #SSemangatpagi'"
negative,Saya minta kader PKB yang mengikuti pilkada agar tak lupa memperdayakan produktifitas tanaman kopi di daerah bersangkutan dalam program kerjanya kelak. ##MinumKopiIndonesia
positive,si ahok pantasnya dinobatkan sbgai Babi ngepret
negative,Dan setelah memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjut kembali be emu dengan Gubernur Banten Wahidin Halim hari ini (21/4) #SebaBaduy2018
positive,"Hei kunyuk , supaya ente paham ya? Prabowo Subianto jadi capres aja udah salah apalagi jadi presiden?! PS memang pas jadi capres abadi! URL"
negative,Wah ternyata bapak ini... berfikirnya tentang agama dan membela agama tebang pilih. Allah akan meminta kesaksian dirimu sebagai seorang yang mengaku ulama/ustad. Apa kitab suci mu ? Nanti bapak boleh jawab gak da krn itu fiksi semua
negative,"""Anak-anak harus punya cita-cita dan harus bersemangat"". Hal tersebut disampaikan Presiden saat be emu dengan anak-anak penyintas kanker di Istana Kepresidenan Bogor, Jawa Barat, Jumat (6/4). #SetkabAkhirPekan"
negative,memek rapet #memek #ngewe #ngentot #sange #bahancoli URL
negative,"Lain kali jangan hanya pencopotan spanduknya, Pak. Tangkap juga mrk yg masang supaya ada konsekwensi dr perbuatan tercela semacam itu. #BravoPolri "
positive,"Slogan tipu Teriak Saya pancasila, saya Indonesia.. ( didalam hati, SAYA KOMUNIS)"
positive,udik emang bego haha'
positive,Ujaran Kebencian melalui perangkat Digital sudah terjadi sejak Zaman SBY kl SBY cukup mengklarifikasi info sesat kl Skrg main Tangkap..
negative,"Hidup ya gitu, biasanya kita dipe emukan dengan manusia yang brengsek dulu biar bisa ngehargain orang yang lebih baik nantinya.'"
positive,Bonek jancok supo er suci di indonesia gak pernah maling gorengan dan gak pernah jarah warung nBONEK JANCUK!! nSory rasis udah gak kuat menahan '
positive,Hajar Jokowii
negative,Semua harus berhati jika ingin menjatuhkan vonis kafir kpd org lain. Itu tidak boleh.'
negative,Bolot wkwkwk tipo'
positive,Super Gubernur Indonesia memang membanggakan..? Beda kelasnya dengan Gubernur Reklamasi yang dibangga2kan para cukong. ? #2019GantiPresiden #2019PresidenBaru #CukupSatuPeriode 
negative,gak brengsek. cuma brisik. dan genit...(eh gatau deh) LOL.'
negative,ngentot yuk'
negative,"Informasi yg kami sampaikan sejak 8 tahun lalu itu 99% terbukti akurat, telah dan sedang terjadi. RI jadi korban imperialism via pro nMengapa info tsb tdk efektif mencegah pro war dan AWS konspirasi global? nKrn Pemimpin te inggi pada saat itu"
negative,GMNI-satu nya organisasi kemahasiswaan yg mampu be ahan mempe ahankan ajaran Bung Karno sejak Presiden pe ama itu diturunkan dr tampuk kekuasaan oleh rejim Orde Baru pada 1967.Eksistensi &amp konsistensi GMNI pun trus be ahan melwati
negative,Menarik untuk menengok sikap institusi2 negara thdp tuduhan jokowi adalah komunis dan china.'
positive,YAAAELAAAAAA manusia babi dasar'
negative,Sepe inya efek dari UU MD3. Boleh ngomong sesuka hati.'
positive,Ustad tukang fitnah ini menuduh Jokowi PKI kapan ditangkap?
negative,AB seorang yang selalu berusaha keras untuk berhasil dalam pekerjaannya
negative,"dia kek jadiin autis itu lucu""an, intinya gt deh'"
negative,"2. Dalam rapat terbatas ini, Presiden mengingatkan pentingnya publikasi terhadap kegiatan yang akan diselenggarakan di Jaka a dan Palembang pada bulan Agustus mendatang #JokowiPacuPromosiAsianGames #YukPromosikanAsianGames18"
negative,"Apa yang tidak terpikirkan oleh kita, semuanya bisa terjadi di rezim ini.. '"
negative,Budaya meminta2 kat social media ni macam melampau2 pulak lately.
positive,Daripada kau BODAT KOMUNIS'
negative,"Satu bukti valid lagi, bahaya virus idiot yg diminum oleh (salah satunya) admin bisa membuat otak berhenti bekerja saat mulut bicara atau jari menekan keyboard komputer.'"
positive,Dasar bencong.....!!!'
positive,Anies-Sandi Gunakan Produk Saracen URL
positive,taman rezim skrg di 2019 rakyat sudah muak #2019GantiPresiden
positive,"Iya, kalah lawan bani taplak. Lol.'"
negative,Yg kunyuk kunyuk ini yg heboh prof ditambah penumpang gelap dan pasukan nasi campur'
positive,"Tai kucing, cina mulai intervensi wilayah kalimantan, hati Hati gara gara ahok simulut jamban'"
negative,"Kanan, keponakan saya Muhammad Alfathih Hidayat yang lagi kuliah di Turki dan sudah selesai hafalan 30 juz, wefie bareng Gubernur ketika Beliau sedang dinas ke sana."
negative,Final VS Bani Taplak akan disaksikan . Pak nonton gak ni bareng dan ?'
positive,Saat semua yg ditakutkan dari Prabowo sudah dilakukan dengan sukses oleh Jokowi apakah masih perlu takut sama Prabowo?
negative,"""Cosplay?"" nPemilik surai putih memiringkan kepalanya, penasaran ada, bingung pun ada. Dia pun memutari sebentar sosok asing di depannya itu. n""Cosplay apa?""'"
positive,Ternyata bner tu pak alasan pembakaran 7 SD di Palangkaraya cm utk diperhatikan &amp segra pengadaan proyek URL
negative,Papua itu Indonesia.itu Hijab bukan cadar.Orang2 Wanita Yahudi juga pake Cadar.'
negative,"Biaya Pilkada Langsung Mahal, Zulkifli Melalui DPRD Oke"
negative,"6922. nWedeeeh ini mah udah ky brother from another meki . HAHAHAHAHAH ngocol anjing ni anak g paham lg gua . Tiap"" chatan ketawa mulu gua dibuatnya ampe sakit perut . Baik banget, open minded, friendly, kocak, sampah, idiot, demen ngentot. Yg ada dipikirannya itu memek,memek mulu'"
positive,Gubernur yg terpilih sekarang.akan hancur dgn perbuatannya.lihat saja nanti.ahok no 1.
positive,Dasar antek asing'
positive,Muke lo mirip kontol monyet'
negative,Kalau ada ISLAM NUSANTARA na inya kita mengakui juga ada nISLAM CHINA nISLAM INGGRIS nISLAM HONGKONG ndll nNah Islam Nusantara ada turunannya doong nIslam Sunda nIslam
negative,Massa Tuntut Kejaksaan Tuntaskan Kasus Dugaan Korupsi PKK Dairi -
positive,Saya keberatan diwakili Setya Novanto di DPR-RI. Pecat Setya Novanto dari DPR-RI.
positive,TKI kita banyak di hongkong. Ada yang takut TKI dipengaruhi oleh Ustad2 212. Menjelang Pilpres suara2 di LN harus diamankan. URL
positive,Betul..... PKI adalah Jombi yg Mengancam NKRI. Dan hanya Ummat Islam lah mampu Ganyang PKI URL
negative,Alasan Novanto Te idur Saat Pembukaan Munaslub Golkar via 
positive,Jagalah kesehatan berpikir dan berlogika yang benar dengan #2019GantiPresiden
negative,"Jika LGBT akan dibunuh pada usia 12 tahun, jantina yg manakah anda pilih untuk dilahirkan jika diberi peluang sebelum keluar dari rahim?'"
positive,"Reflek, Sarah mencubit pinggang sang adam ketika motor dilajukan dengan begitu cepatnya. Kedua alisnya te aut kesal lantas meluncurkan protes. n""Kau ini sedang membawa gadis, bukan preman pasar. Idiot.""'"
positive,kalau boleh saya ngomong ingin saya katakan ahmad dhani monyet babi anjing. tapi itu tidak boleh
positive,FPI Siap Gelar Jihad Konstitusional Untuk Lengserkan Jokowi URL BijakBerpendapat IniBaruIndonesia MOHABBATEIN305
positive,BIADAB! Pekerja Asal Cina Membuang Bendera Indonesia ke Tanah Aseng Saya Asing Tiongkok URL
negative,"Sebab johor antara negeri paling pesat pembangunan, penting untuk ada golongan professional yang menjaga agama."
positive,Beginilah kelakuan si bani onta ekstrak tinja..... ngoaaahahaaaaa salam pks penjahat kelamin syariah'
negative,Bahasa asing yg lainn '
positive,Pepatah itu cocoknya buat jongos yg nyaring ngibulnya nSangking sibuk kerja(pencitraan) dolar ngeroket..si tablo planga dongo'
negative,"iyah malah jadi ribet, padahal sekolah muhammadiyah di papua yang seluruh siswanya kristen saja, muridnya tidak ada yang dipaksa pakai jilbab, gurunya yg berjilbab karena memang muslimah ...'"
negative,"Di P e r u ada â??Gunung Pelangiâ?? (Rainbow Mountain), brbagai warna mmbntuk bukit indah Sepe i INDONESIAð??²ð??¨, brbagai suku,agama,etnik, â??membentukâ?? Indonesia. Perbedaannya menyajikan keindahan harmoni berbangsa. Kita B A N G G A NKRIâ?? Kita BANGGA"
positive,"Hei..Ahok sudah jauh2 hari mikirin ini, bukan kayak Wan Abut yg cetek mikirnya, merk islam tp otak kapir.'"
negative,Presiden Jokowi Soroti Iklan Asian Games di Media Massa yang MasihÂ Minim
positive,Ternyate nyang Nulis Twit ne.. Cebong kelas kakap folower 35ribu tapi sayang bloon dongo sialan haram jadah!! men fitneh dasar bangsat!! '
positive,masuk katagori barisan dajjal dan iblis si BU SUK'
positive,biar aja biar tai nya kena bapak lo itu ya. Loh tuh kan gak suka sm ahok jadi biar loh sm bpk loh sm ibu loh kena tai nya.
negative,"mau merindukan Suha o ya monggo aja sih ntapi kalian yakin bisa nyebarin hoa ama bisa nyerang presiden kayak sekarang? nblom nyebar hoa ma nyerang presiden, kalian udah hilang duluan wkwkwk'"
positive,"'Cinta tidak harus memiliki' kata org yg tdk prnah dicintai, wakaka kasian bgt yg suka bilang kya gtu. Cinta itu harus memiliki, bego."""
negative,Peh aku dah cacat weh'
negative,"Abraham Samad Ogah Menteri, Namun Mau Dicalonkan Jadi Presiden"
negative,"Kepala Seksi Perlindungan dan Pemberdayaan BP3TKI Padang Valerie Chistie Faisal, S. Pd memdampingi TKI Purna binaan BP3TKI Padang dalam survei yang dilakukan oleh Tim penilaian Badan Ekonomi Kreatif Indonesia... URL"
positive,"Jika istana sudah dikuasai komunis, rakyat harus bagaimana? lengserkan jokowi jokowi diktator Rakyat Bersama TNI URL"
negative,"Ini pula alasan mengapa Gereja Katolik tdk mudah disitir seenak udel umatnya. nSy ingat, pernah di sebuah Gereja Katolik di Flores, sekelompok umat diusir dr dlm Gereja karena keteribata"
negative,#Indobet365 #ResultJapan nKeluaran Togel Japan Hari Rabu 28 Maret 2018 nResult 9 0 0 3 nShio Monyet nURL URL
negative,Sy umat nasrani..dan sy gk pernah dgr pendeta kami berbicara utk memilih pemimpin sesama kristen! Pendeta kami mengajarkan kami utk memilih pemimpin yg jujur dan mengayomi rakyat nya! Dan menjaga NKRI! Regardless apapun itu agamanya!! Jg
negative,Jancuk'
positive,Prabowo Jadi Kuli Saja Indonesia Kalah Saing URL
negative,"Ohiya, kenapa sekolah yg mayoritas tionghoa justru mereka yg dibedakan? Gatau, pribumi nya juga banyak 11/12 lah. Kepseknya juga pribumi..'"
negative,Kadin Gubernur Suka Marah-Marah Jangan Dipilih
positive,Bangkai betul! Nasib baik uzur'
negative,"silakan menangis, silakan iri, silakan pingin nyaingin e dan e . but mimpi lu ketinggian gan. presiden korea fans e anak pak jokowi jg fans e e mah lebih selebih lebihnya pokoknya mah wksk gosa sok nyaingin #EXO_MEDALS #MTVBRKPOPEXO #PremiosMT"
negative,"Teh bisa kasih cara gak gimana bisa tb tb ngajak omong orang asing? Aku sering si ngopi sendiri, ke bioskop sendiri. Dan ada orang yg sendirian juga pengen ngajak ngobrol soalnya sama sama lagi sendiri '"
negative,Yang yahudi juga'
positive,"Anda itu dongo sama spemkiirannya dgn si gerung Kitab suci itu di pakai smua agama. Bukan cma Islam, Bahkan agama2 lain akan merasa ternista"
negative,"Makin minder ketemu teman SD yg SMAnya di sekolah katolik yg terbagus juga. Pelajaran2 mereka, aktifitas di sekolah. Udahlah itu kalah jauh'"
negative,"#NP - Falshback nKamu bisa membuat masker rambutmu. Bahannya pun termasuk mudah di dapat. Kamu tinggal memilih entah itu masker alpukat, telur, santan, buah-buahan atau lidah buaya. n#SERASI'"
negative,"[]&gt &gt &lt &lt &lt Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali be emu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018"
positive,BANGSAAAT TOLOL AJG BANGSAT AJG TOLOL OON BLOON BEGO AJGGGGGGGGG ALAY AJG BANGSAT JABLE'
negative,Giat piket patroli brigadir Dede Rudi dan brigadir Erik Iskandar PAM dan gatur d perempatan tarum timur Binong antisipasi yang berangkat hajian situasi aman tka arulin lancar URL
positive,Mana suaranya bani kampret? Apa udah mati kekenyangan?'
positive,Pa ai Sontoloyo'
negative,"...dan mereka akan semakin defisit. Mbok ora ndagel to min!! Uang dicetak dgn 2 sistem 1. Pseduo Gold pake cadangan emas (krn defisit, apa nda malah defisit?) 2. Uang fiat jaminan asset. (Karena defisit, trs jaminan asetnya apa?) Jadinya ap"
positive,
negative,Najis gua liatnya'
negative,Dosen UI Ade Armando Kembali Dipolisikan Terkait Penodaan Agama Denny mempersoal
positive,brengsek anjeng yut ga gini dong ah gila URL
positive,Cc ...... Lg nafsu.... Tenaga kurang URL
negative,Xl jancuk'
positive,Cacat lo ceng'
positive,40. Jika Jokowi mundur maka akan bergelar negarawan tapi hal itu mustahil pasti akan tetap be ahan dan kita akan melihat berakhir
positive,papah matamu picek'
positive,"Pak jalan menuju Indonesia Baru Tanpa Islam akan jadi indah, jika Muslim dpt diajak diskusi"
positive,"Ayat bossku dengan maju lu sini, anjing ni memang sedap diguna. Satu terlalu sopan, satu terlalu kurang ajar.'"
positive,Komunis itu sadah BANKRUT bro seiring perestroika Cecep Gorbachev
negative,Sayang industry oil gas kita kebnykkan warga asing.. di mnakah anak melayu...'
negative,"Saya setuju di maafkan, tapi 100% menista agama. Kitab suci adalah wahyu Allah. Tidak ada tafsiran apapun. Dia sudah menyakiti hati semua pemeluk agama. Biar Allah yg memberi ganjaran yg sesuai. Ini dasar saya m"
negative,"""Kalau aku iyain, aku dikasih apa?"" Sabi menyipitkan matanya yang sudah sipit.'"
positive,"aku katakan anjing kpd ahmad dani, boleh....aku katakan babi kpd ahmad dhani, boleh..."
negative,Pembatalan Pembangunan Proyek RKA Hambat Pe umbuhan Ekonomi Jambi
negative,"Saya hargai pendapat bung , tp yg disampaikan bukan sekedar pendapat"
negative,#News Ketua DPR Dorong Inspirasi Kreatif Pemerintah Sesuai Budaya Pancasila
negative,"wah, baru tau si cantik itu pengagum tengkuzul, kacrut dah ))'"
negative,hehe kampungan ya bah yg suka banding2in rezim )))'
negative,PLH JKW EKONOMI SMKIN MEROKET
negative,"""Bila Anies diminta jadi capres Prabowo, beliau bukan tidak amanah, tetapi diberi amanah yang lebih besar! Sampai saat ini, beliau kandidat terbagus mendampingi Prabowo."" n~ Zeng Wei Jian, aktivis kalangan tionghoa.'"
negative,Terlepas lo seorang gay atau banci..sejatinya lo seorang laki2 dan harga diri seorang laki2 itu yaitu BEKERJA.'
positive,Bisa pak asal dpr tekan jokowi kalau jokowi menolak dpr bikin hak angket untuk turunkan jokowi
positive,Mubaligh mana yg pernah die pimpin..mesjid mana yg die akui..jgn Ngadalin rakyat dan umat Islam utk kau giring otaknya agar suka ama Kacungnya dari Cukong kalian..Biarkan rakyat dan Umat Islam punya rencana nanti di 2019 Ganti Pre
negative,"Alhamdulillah.. tetap bersahaja.. mudah mudahan tetap fokus kepada prestasi tdk terbuai dengan popularitas.. ente ainer, politikus dan antek antek nya stay away from him.. kalau mau nyumbang silahkan dalam bentuk tabungan ikhlas gk perlu pame"
negative,ya bro..sudah dicek oleh DMI penilaiannya hanya dari khotbah jumat plus daftar muballighnya. njadi sudah ada tendensi overjudgement duluan. nbiasalah rejim jolim '
positive,Kasih tau sama si ah... Supaya jangan banyak cocot yang tidak berguna.'
negative,Pilkada Damai Wujudkan Pesta Demokrasi Yang Aman .
positive,Nunggu reaksi si denny siregar stelah cita citanya memenjarakan HRS tinggal kenangan DASAR DUNGU!!!!!!'
negative,
negative,"Wakil Gubernur DKI Jaka a sudah hadir dikantor DPP PKS dan duduk satu meja dengan Ketua Majelis Syuro Habib , Wakil Ketua Majelis Syuro , Presiden PKS , dan Ketua dalam Tasyakuran"
negative,"Rakyat terbelah karena pilpres? Wajar nAS saja terbelah pada pilpres Nop 2016 nYg penting jangan terpecah, jangan konflik, jangan merusak NKR nLebih penting lagi, jangan sampai proksi aseng asing menjajah RI'"
negative,noona aku pulang /teriak/ noona dimana?/ngintip kamarnya kaget liat noona lagi gesekin memek ke bantal/ mmh'
negative,"Secara ekonomi sdh dijajah cina, koruptor kelas kakap juga dari cina. Eh dylan nyiapkan 10 juta lapangan pekerjaan j"
negative,"#BeritaIslam Rizal Ramli Pasca Gubernur Baru, DKI Jaka a Lebih Sejuk dan Tenang"
negative,"Doa hilang marah A uzubillahi minasy syaitanir rajimi. Allahummagfirli zanbi wazhab gaiza qalbi wa ajirni minasy syaitanir rajimi. nmaksudnya ""Ya Allah, ampunilah dosaku dan hilangkanlah kepanasan hatiku, dan lepaskanlah aku dari syaitan yang terkutuk""'"
negative,"dicap radikal tentu ada buktinya, sepe i ormas yg terang terangan mendukung isis, atau melabeli umat dan ulama yg berbeda pendapat kafir dan munafik'"
negative,Di gelas kopi terakhir nbarulah ia temukan kekasihnya. nTerserak di ampas paling hitam nyang pernah diciptakan Tuhan. n~ URL
positive,"Tapi percayalah, diantara mereka yg beragama justru para pembajak agama itulah yg paling fasih melafalkan ayat2 Tuhan. Dan segala kutukan terburuk keluar dari mulut mereka atas nama ayat2 Tuhan."
negative,"Samain aja, jual ke banci gih siapa tau laku'"
positive,Mantan menteri hrsnya jaga wibawa.bknnya turunkan berita HoaX!yg buat ribut itu asli kalian!hbs itu yg disalahkan oon!
negative,Bersemangat orang depan aku ni cerita politik kononnya nak tegakkan islam.. Sekali makanan sampai terus dia ambik masuk mulut.. Aku tegur kenapa tak baca bismillah..? Terus dia tukar topik cerita pasal Ronaldhinho nak main dgn team Perak Liga Super..
positive,IKLANAHOKJAHAT AHOK MENCIPTAKAN BARA API ANTARA RAKYAT PRIBUMI DENGAN TIONGHOA YG DIBALUT DENGAN PHOBIA.... AHOK KAFIR RASIS...
negative,Menko Polhukam heran muncul lagi usulan Pilkada dipilih DPRD
negative,"Pada nanya Aza kok benci bgt sm film TTM . Jawabannya pemainnya Adipati simple kan? Adipati itu GANTENG sih cuma dia itu aktor yg tdk beretika. Childish, dan kampungan. Terlalu byk drama di hidupnya. Dan his picture always in my e ore. I dunno why '"
negative,Memang KAMPUNGAN dan NORAK baru tau ?'
positive,si Staguf memang yahudi tulen yg benci sama arab.'
negative,Bangkai tikus kan maksudnya lis ? Wkwk'
negative,Gue suka kalo bangtan kampang kumat ayo lagi ayo lagiii '
positive,bejat lo semua para spoiler infinity war'
positive,Sekarang jaman dia bbm naik. Rakyat susah gara-gara Jokowi
negative,"Salute to the Master... Banyak dewan yg tak punya kapasitas hanya menang uang dan koneksi. Tapi keduanya ini dan memiliki segalanya. Bisa jadi uangnya sedikit, tapi kapasitasnya mantab. Stp pembicaraannya selalu ada kajian dan"
positive,Lg belajar ngerayu Pak Jokowi pengen jd menteri....barangkali
negative,SAYA GAK GILA. Sinting URL
negative,Kenali aku lebih dalam. Maka kamu akan menge i bahwa seorang bajingan sepe iku masih punya hati dan perasaan!'
positive,"Ah, congor mu ,zon'"
negative,"Gus Ipul diusung PDIP didukung oleh koalisi yg ada Gerindra dan PKS nya. Tim Ipul tidak ada yg nyerang mbak Khofifah dg ujaran kebencian. Juga sebaliknya, tim Khofifah didukung Golkar dan Nasdem, juga tanpa ujaran kebencian ke Ipul. Damai kan ? Ayem kan"
positive,"Anda didungukan dan diperbudak Islam Bung HNW, Allah SWT bukan Tuhan, sosok dungu & biadab"
positive,Udah pelupa.. Otak mulai ga nyambung...
positive,Dan penyakit yg blm sembuh sampai skrg oleh gerombolan kampret bongkrek adalah penyakit panik dan balas dendam akibat kekalahan pilpres 2014. URL
positive,hari hari makan babi berbentuk wang haram. muka pun mcm babi. perangai lebih babi dari babi. npolitikus ronggeng babi'
positive,Goblok loe . itu org yg berbeda Cong ! URL
negative,Ditunggangi kontol jumbo sampe bool ketarik. Nikmatnya ngentot URL
negative,Gubernur rasa Presiden
negative,"Saat Paul Pogba Selebrasi Gol, Terdengar Tiruan Suara Monyet URL"
positive,Banyak responden ISEAS yang meyakini bahwa orang Indonesia keturunan Cina masih memiliki loyalitas terhadap RRC
negative,"Perkerja lokal kalo ada masalah selalu cari yg patut disalahin. Pekerja asing tempat saya beda, ada masalah, bicarakan, cari solusi.'"
positive,emang berani ... Indonesia kan bagian dari republik rakyat cina..
positive,Sudah di nyinyirin para bani kampret apa belom?'
positive,"tp pihak massa trus memprovokasi sambil be eriak ""ganyang PKI!"""
positive,SI PEREK LAGI )'
negative,Prabowo makin panik. nPrabowo makin membabi buta. nSerang siapa saja. nElite politik dikatakan goblog dan bermental maling. nKritik tdk ada konsep. Kritik tdk terarah.'
negative,Berita duka telah meninggal dgn tenang Bpk Liu Kiun Jie(Tai Pui Kiun) di rmh sakit vincesius Singkawang '
positive,Anjing menggonggong anies jalan terus
negative,Oh iya... bener juga nBaru mau aku katain burik /nggak'
positive,Harusnya Tomy dikenakan pasal berlapis korupsi dan pembunuhan hakim agung pula tp dapat diskon besar-besaran era SBY URL
negative,"Di like dulu, ngentod nya belakangan xb"
positive,Cebong tolol tak be epi'
negative,"9. A lot of people think that I'm Chinese/Japanese/Korean karena mataku sipit terus kulitku putih langsat(?) While in fact, keluargaku gaada darah cinanya sama sekali bahkan sering banget dibercandain katanya waktu lahir ketuker sama anak orang"""
negative,HEBAHAN PENAWARAN PROGRAM DIPLOMA PENDIDIKAN LEPASAN IJAZAH (DPLI) DAN PROGRAM IJAZAH SARJANA MUDA PENDIDIKAN (PENDIDIKAN ISLAM) (ISMPPI) KEMASUKAN SEPTEMBER 2018 DI UNISZA. Sukacita dimaklumkan bahawa Universiti Sultan Zainal...
negative,Pemprov DKI Bakal Bangun Pusat Jajanan Betawi di Ibu Kota - iNews #budaya #penelitian #berita
positive,"Gw lihat emang si Anies ini ada kurangnya ya. Tapi gw ngebandingin sama Ahok tahun lalu yg mudah aja bilang mampus, badjingan, brengsek, taik, pemahaman nenek Lo ke orang lain dihadapan publik maupun rapat internal. Menurut gw sih mending si Anies yak."
negative,Halo Ustad Siauw. Nama saya Albe . Saya dulu Kristen. Sekarang sedang mencari. Saya following Ustad karena saya ingin belajar tentang Islam. Semoga diperbolehkan.'
negative,"Tolong analisa sejarah kejatuhan krjaan Uthmaniyah, kerajaan khalifah Islam yg terakhir,yg mnyebabkn Palestin jatuh pd tangan Yahudi hingga ke hari ini. Apa yg Mustafa Kamal Ata urk kuatkuasakan utk merubah Turki kononnya mmbawa agenda Turki Moden dgn m"
positive,Ini adalah salah satu IBLIS BETINA yg lg gentayangan. nDuku calon legislatif GAGAL. nSI Penipu Ijasah PALSU. nSkg dia tlh ber '
positive,kalau prabowo yg presiden tanpa istri bisa-bisa Indonesia hancur
negative,"temannyarpg "" PDI_Perjuangan Pileg &amp Pilpres 17 April 2019. #PDIPerjuangan mendapat nomor urut 3 sebagai parpol Pese a Pemilu 2019 &amp mencalonkan kembali Bapak Ir. Joko Widodo (jokowi) sebagai calon Presiden Republik Indonesia 2019 - 2024. "
positive,"ngoahahaha, kliatan klo blum lair KEAHLIAN CEBONG HANYA 1, TUKANG TIPU !!! cebong mah gitu, goblok nggak ketulungan. Plonga plongo mengakibatkan optimisme berlebihan #2019GantiPresiden #PlongaPlongo #Dunning"
negative,Bagaimana dgn sampah bu ?'
